unicode,towncode,Male,Female,Age25,Age34,Age44,Age54,Age64,Age.L65,Popn
40,6311,4394,3253,442,777,1415,1868,1660,1485,7647
41,6312,3805,2675,210,632,1187,1705,1526,1220,6480
233,6401,1462,1095,55,194,381,637,642,648,2557
234,6402,1952,1794,79,485,877,978,716,611,3746
235,6403,2986,2381,109,660,1694,1373,822,709,5367
236,6404,2650,1808,302,733,1046,1086,729,562,4458
237,6405,4542,3420,228,814,1593,2313,1764,1250,7962
238,6406,1751,1471,92,279,475,771,832,773,3222
239,6407,1937,1717,95,341,576,899,781,962,3654
240,6408,2420,1948,71,434,696,1151,1126,890,4368
241,6409,2545,1881,82,463,942,1093,940,906,4426
242,6410,2031,1031,56,304,633,752,683,634,3062
243,6411,2467,1470,99,571,906,1063,785,513,3937
365,7101,818,381,55,114,256,317,211,246,1199
366,7102,241,106,12,24,61,88,92,70,347
367,7103,133,46,9,23,36,39,36,36,179
368,7104,205,64,11,30,76,88,36,28,269
359,7201,489,291,22,83,131,175,144,225,780
360,7202,367,174,8,25,90,114,85,219,541
361,7203,479,242,25,75,141,186,125,169,721
362,7204,745,373,22,76,204,219,191,406,1118
363,7205,249,142,7,15,42,76,69,182,391
364,7206,42,4,8,6,8,6,6,12,46
